method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.1265530134534014,50,0.0556878671050071,0.8377261161804199,1.0,0.0,1
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.2568756000470749,50,0.0480333603918552,0.2738946080207824,1.0,0.0,2
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.3128593173705903,50,0.0495697557926178,0.2210400551557541,1.0,1.0,2
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.2834630338799321,50,0.0773635730147361,0.8235596418380737,1.0,0.0,3
sac_her_recovery,sensor_bias,0,0.1,-49.0,1.0,0.1346600731783481,50,0.0618862174451351,0.5096110701560974,1.0,0.0,3
sac_her,sensor_bias,0,0.1,-49.0,1.0,0.164991818367979,50,0.0527761094272136,0.4295681118965149,1.0,0.0,4
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.261099115904108,50,0.0635472238063812,0.5933336019515991,1.0,1.0,4
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.2292845183775425,50,0.0891430974006652,0.3953018188476562,1.0,0.0,5
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.2207866958755343,50,0.0684977769851684,0.5773534774780273,1.0,0.0,5
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.2684705284207778,50,0.0498944893479347,0.8794751167297363,1.0,0.0,6
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.2880888467687547,50,0.0676071569323539,0.4003806710243225,1.0,1.0,6
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.3378591077494386,50,0.0587544329464435,0.8647764325141907,1.0,0.0,7
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.2232351874174457,50,0.033557754009962,0.2661775946617126,0.0,0.0,7
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.1747091742265222,50,0.0378222092986106,1.130942702293396,1.0,0.0,8
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.0897662138352046,50,0.0523015074431896,0.2157158702611923,0.0,0.0,8
sac_her,sensor_bias,0,0.1,-48.0,1.0,0.0845195013309426,50,0.0602458193898201,0.3132997155189514,1.0,0.0,9
sac_her_recovery,sensor_bias,0,0.1,-50.0,0.0,0.2004306500847835,50,0.0518951155245304,0.2955509424209595,1.0,0.0,9
sac_her,goal_spoof_immediate,0,0.1,-3.0,1.0,0.0306831913533445,50,0.0343179777264595,1.030358910560608,1.0,0.0,0
sac_her_recovery,goal_spoof_immediate,0,0.1,-50.0,0.0,0.1179687029568786,50,0.0515353381633758,1.1837687492370603,1.0,1.0,0
