method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
sac_her_recovery,sensor_dropout,0.0,0.0333333333333333,-49.96666666666667,0.7509430701697292,50.0,0.022628140884141,1.01432244181633,1.0,1.0,30,0.0333333333333333,0.4798076133240702,0.0333333333333333,0.0,1.0,0.3092948559981474,0.4076281893314807,0.4076281893314807
sac_plain,goal_spoof_immediate,0.1,0.2,-46.7,0.0943792385511578,50.0,0.0496724045524994,0.445740291972955,0.9,0.0,30,0.2,0.9225923656760676,0.2,0.0999999999999999,0.0,0.2845184731352135,0.2695184731352135,0.2695184731352135
sac_plain,goal_spoof_midep,0.1,1.0,-30.733333333333334,0.102498470366321,50.0,0.1152667423089345,0.5000798712174098,0.9333333333333332,0.0,30,1.0,0.900180909297507,1.0,0.0666666666666666,0.0,0.5933695151928348,0.5400361818595014,0.5400361818595014
sac_plain,sensor_bias,0.1,0.1666666666666666,-48.03333333333333,0.1729414912128301,50.0,0.0545927310983339,0.7134315639734268,0.9333333333333332,0.0,30,0.1666666666666666,0.8675149945226219,0.1666666666666666,0.0666666666666666,0.0,0.2535029989045244,0.2418363322378577,0.2418363322378577
sac_plain,sensor_dropout,0.0,0.0333333333333333,-49.96666666666667,0.8759402723472308,50.0,0.0127204906505842,1.836780273914337,1.0,0.0,30,0.0333333333333333,0.3967323436803614,0.0333333333333333,0.0,0.0,0.0926798020694056,0.0910131354027389,0.0910131354027389
sac_plain_recovery,goal_spoof_immediate,0.1,0.2666666666666666,-46.53333333333333,0.0989003278769737,50.0,0.0482491836572686,0.4086305762330691,0.7666666666666667,0.0333333333333333,30,0.2666666666666666,0.9198611168514288,0.2666666666666666,0.2333333333333332,0.0333333333333333,0.3439722233702858,0.3223055567036191,0.3223055567036191
sac_plain_recovery,goal_spoof_midep,0.1,1.0,-27.833333333333332,0.0959817779708566,50.0,0.115110578884681,0.4735313268999259,0.9333333333333332,0.0,30,1.0,0.9046848170562278,1.0,0.0666666666666666,0.0,0.5942702967445789,0.5409369634112455,0.5409369634112455
sac_plain_recovery,sensor_bias,0.1,0.3,-44.96666666666667,0.1593154015188292,50.0,0.0531808979809283,0.4852201414604982,0.9,0.1666666666666666,30,0.3,0.8772112425959687,0.3,0.0999999999999999,0.1666666666666666,0.3487755818525271,0.3454422485191937,0.3454422485191937
sac_plain_recovery,sensor_dropout,0.0,0.0333333333333333,-49.96666666666667,0.7509430701697292,50.0,0.022628140884141,1.01432244181633,1.0,1.0,30,0.0333333333333333,0.4798076133240702,0.0333333333333333,0.0,1.0,0.3092948559981474,0.4076281893314807,0.4076281893314807
random,action_delay,0.0,0.0333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.0333333333333333,0.9314344835440884,0.0333333333333333,1.0,0.0,0.399620230042151,0.3479535633754843,0.3479535633754843
random,action_reverse,0.0,0.2,-49.6,0.2167496888941247,50.0,1.5739082932472228,1.130362363656362,1.0,0.0,30,0.2,0.4979001625264329,0.2,0.0,0.0,0.1795800325052866,0.1695800325052865,0.1695800325052865
random_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.0315368655137717,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
random_recovery,action_reverse,0.0,1.0,-6.2,0.0036853047532681,50.0,0.0611752613758047,0.1313192841907342,0.0666666666666666,1.0,30,1.0,0.9827166880358396,1.0,0.9333333333333332,1.0,0.9832100042738348,0.986543337607168,0.986543337607168
rule_based,action_delay,0.0,0.0333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.0333333333333333,0.9314344835440884,0.0333333333333333,1.0,0.0,0.399620230042151,0.3479535633754843,0.3479535633754843
rule_based,action_reverse,0.0,0.0,-50.0,1.2689272748863574,50.0,0.0290430333154896,1.5764461914698282,0.9666666666666668,0.0,30,0.0,0.3948912883058117,0.0,0.0333333333333333,0.0,0.085644924327829,0.0839782576611623,0.0839782576611623
rule_based_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.0315368655137717,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
rule_based_recovery,action_reverse,0.0,1.0,-38.13333333333333,0.0657794932165895,50.0,0.2160616422692934,0.4474228819211324,0.1,1.0,30,1.0,0.9141037417825736,1.0,0.9,1.0,0.9628207483565148,0.9678207483565148,0.9678207483565148
sac_her,action_delay,0.0,0.0333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.0333333333333333,0.9314344835440884,0.0333333333333333,1.0,0.0,0.399620230042151,0.3479535633754843,0.3479535633754843
sac_her,action_reverse,0.0,0.0,-50.0,1.2737514236508334,50.0,0.0328140924102626,1.939452878634135,1.0,0.0,30,0.0,0.3916604817317375,0.0,0.0,0.0,0.0783320963463475,0.0783320963463475,0.0783320963463475
sac_her_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.0315368655137717,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
sac_her_recovery,action_reverse,0.0,1.0,-17.233333333333334,0.0058283634010042,50.0,0.1345531145731608,0.4453827783465385,1.0,1.0,30,1.0,0.9630586298224258,1.0,0.0,1.0,0.7926117259644853,0.8426117259644852,0.8426117259644852
sac_plain,action_delay,0.0,0.0333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.0333333333333333,0.9314344835440884,0.0333333333333333,1.0,0.0,0.399620230042151,0.3479535633754843,0.3479535633754843
sac_plain,action_reverse,0.0,0.0,-50.0,1.2737514236508334,50.0,0.0328140924102626,1.939452878634135,1.0,0.0,30,0.0,0.3916604817317375,0.0,0.0,0.0,0.0783320963463475,0.0783320963463475,0.0783320963463475
sac_plain_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.0315368655137717,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
sac_plain_recovery,action_reverse,0.0,1.0,-17.233333333333334,0.0058283634010042,50.0,0.1345531145731608,0.4453827783465385,1.0,1.0,30,1.0,0.9630586298224258,1.0,0.0,1.0,0.7926117259644853,0.8426117259644852,0.8426117259644852
random,action_clipping,0.3,0.1333333333333333,-48.266666666666666,0.1643553187551429,50.0,0.7261002759138743,0.530120454231898,0.0,0.0,30,0.1333333333333333,0.0,0.1333333333333333,1.0,0.0,0.2533333333333333,0.1966666666666666,0.1966666666666666
random_recovery,action_clipping,0.3,1.0,-6.733333333333333,0.0118053291137337,50.0,0.21913643181324,0.218679911394914,0.0,1.0,30,1.0,0.8361834920874844,1.0,1.0,1.0,0.9672366984174968,0.9672366984174968,0.9672366984174968
rule_based,action_clipping,0.3,1.0,-7.1,0.002778670678297,50.0,0.0103009601744512,0.0973846440513928,0.0,0.0,30,1.0,0.9841814328344348,1.0,1.0,0.0,0.796836286566887,0.696836286566887,0.696836286566887
rule_based_recovery,action_clipping,0.3,1.0,-7.1,0.002778670678297,50.0,0.0103009601744512,0.0973846440513928,0.0,0.2,30,1.0,0.9841814328344348,1.0,1.0,0.2,0.836836286566887,0.756836286566887,0.756836286566887
sac_her,action_clipping,0.3,1.0,-6.466666666666667,0.0180133276150774,50.0,0.0227930108706156,0.2844032802929481,0.0,0.0,30,1.0,0.9216836575217796,1.0,1.0,0.0,0.7843367315043559,0.6843367315043559,0.6843367315043559
