method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered
rule_based_recovery,action_noise,2,0.05,3,-1.0,0.0619186022210742,0.0,0.3655401468276977,0.3701031506061554,0.0,0.0
rule_based_recovery,action_noise,2,0.05,4,-1.0,0.0515714279826433,0.0,0.3137348890304565,0.3095930218696594,0.0,0.0
rule_based_recovery,action_noise,2,0.05,5,-0.0,0.0463762073121477,1.0,0.1666959524154663,0.2578572332859039,0.0,1.0
rule_based_recovery,action_noise,2,0.05,6,-0.0,0.0391645277831173,1.0,0.2312041074037552,0.231881245970726,0.0,0.0
rule_based_recovery,action_noise,2,0.05,7,-0.0,0.0328964252205065,1.0,0.1924919337034225,0.1958226859569549,0.0,0.0
rule_based_recovery,action_noise,2,0.05,8,-0.0,0.0271649075355684,1.0,0.1937893778085708,0.1644822061061859,0.0,0.0
rule_based_recovery,action_noise,2,0.05,9,-0.0,0.0242609852799412,1.0,0.1139301881194114,0.1358247101306915,0.0,0.0
rule_based_recovery,action_noise,2,0.05,10,-0.0,0.0213550833265453,1.0,0.1398370712995529,0.1213047802448272,0.0,0.0
rule_based_recovery,action_noise,2,0.05,11,-0.0,0.018337165831385,1.0,0.1285783797502517,0.1067754626274108,0.0,0.0
rule_based_recovery,action_noise,2,0.05,12,-0.0,0.0133302059921645,1.0,0.1673150062561035,0.0916856452822685,0.0,0.0
rule_based_recovery,action_noise,2,0.05,13,-0.0,0.0125814363340373,1.0,0.1219119280576706,0.0666510462760925,0.0,0.0
rule_based_recovery,action_noise,2,0.05,14,-0.0,0.0107082102144624,1.0,0.1349440515041351,0.0629072114825248,0.0,0.0
rule_based_recovery,action_noise,2,0.05,15,-0.0,0.010107973408437,1.0,0.0308922734111547,0.0535410568118095,0.0,0.0
rule_based_recovery,action_noise,2,0.05,16,-0.0,0.0082778785411242,1.0,0.111710324883461,0.0505397208034992,0.0,0.0
rule_based_recovery,action_noise,2,0.05,17,-0.0,0.0066686509774172,1.0,0.1213860884308815,0.0413893796503543,0.0,0.0
rule_based_recovery,action_noise,2,0.05,18,-0.0,0.00548285153812,1.0,0.0447312891483306,0.0333431363105773,0.0,0.0
rule_based_recovery,action_noise,2,0.05,19,-0.0,0.0064735540571053,1.0,0.1057136058807373,0.0274140704423189,0.0,0.0
rule_based_recovery,action_noise,2,0.05,20,-0.0,0.0066159660104225,1.0,0.0768374130129814,0.0323675908148288,0.0,0.0
rule_based_recovery,action_noise,2,0.05,21,-0.0,0.004007023401961,1.0,0.094524085521698,0.033079732209444,0.0,0.0
rule_based_recovery,action_noise,2,0.05,22,-0.0,0.0045668735342047,1.0,0.1123419031500816,0.0200349371880292,0.0,0.0
rule_based_recovery,action_noise,2,0.05,23,-0.0,0.0047627444200619,1.0,0.158036008477211,0.0228344239294528,0.0,0.0
rule_based_recovery,action_noise,2,0.05,24,-0.0,0.004552327657748,1.0,0.048457283526659,0.0238135419785976,0.0,0.0
rule_based_recovery,action_noise,2,0.05,25,-0.0,0.0037705411082317,1.0,0.0931639745831489,0.0227613523602485,0.0,0.0
rule_based_recovery,action_noise,2,0.05,26,-0.0,0.0025123587994815,1.0,0.0796840712428093,0.0188524387776851,0.0,0.0
rule_based_recovery,action_noise,2,0.05,27,-0.0,0.0033277724508251,1.0,0.0767610445618629,0.0125617906451225,0.0,0.0
rule_based_recovery,action_noise,2,0.05,28,-0.0,0.0036354101976853,1.0,0.0753819271922111,0.0166386626660823,0.0,0.0
rule_based_recovery,action_noise,2,0.05,29,-0.0,0.0040069167154289,1.0,0.0627132728695869,0.0181768331676721,0.0,0.0
rule_based_recovery,action_noise,2,0.05,30,-0.0,0.0040106402421252,1.0,0.09485474973917,0.0200346354395151,0.0,0.0
rule_based_recovery,action_noise,2,0.05,31,-0.0,0.006839388192947,1.0,0.1252586543560028,0.0200530719012022,0.0,0.0
rule_based_recovery,action_noise,2,0.05,32,-0.0,0.0066315559867359,1.0,0.1186705455183982,0.0341967940330505,0.0,0.0
rule_based_recovery,action_noise,2,0.05,33,-0.0,0.0049903533050419,1.0,0.1241732761263847,0.0331576466560363,0.0,0.0
rule_based_recovery,action_noise,2,0.05,34,-0.0,0.0059092612517284,1.0,0.0619957149028778,0.0249515511095523,0.0,0.0
rule_based_recovery,action_noise,2,0.05,35,-0.0,0.0036866766505295,1.0,0.1077937856316566,0.0295462422072887,0.0,0.0
rule_based_recovery,action_noise,2,0.05,36,-0.0,0.0047761683594921,1.0,0.0701822564005851,0.0184332765638828,0.0,1.0
rule_based_recovery,action_noise,2,0.05,37,-0.0,0.0039800782369636,1.0,0.0634041875600814,0.0238811038434505,0.0,0.0
