method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random,action_delay,1,0.0,-50.0,0.0,0.14856976495511945,50,0.0,0.0,0.0,0.0,2
random_recovery,action_delay,1,0.0,-14.0,1.0,0.004354972838628743,50,0.06447449326515198,0.3160525858402252,0.0,1.0,2
random,action_delay,1,0.0,-50.0,0.0,0.1338437788376919,50,0.0,0.0,0.0,0.0,3
random_recovery,action_delay,1,0.0,-50.0,0.0,0.1338437788376919,50,0.0,0.0,0.0,0.0,3
random,action_delay,1,0.0,-50.0,0.0,0.13997164380901286,50,0.0,0.0,0.0,0.0,4
random_recovery,action_delay,1,0.0,-50.0,0.0,0.13997164380901286,50,0.0,0.0,0.0,0.0,4
random,action_delay,1,0.0,-50.0,0.0,0.19076124424566182,50,0.0,0.0,0.0,0.0,5
random_recovery,action_delay,1,0.0,-50.0,0.0,0.19076124424566182,50,0.0,0.0,0.0,0.0,5
random,action_delay,1,0.0,-50.0,0.0,0.22584080380539412,50,0.0,0.0,0.0,0.0,6
random_recovery,action_delay,1,0.0,-50.0,0.0,0.22584080380539412,50,0.0,0.0,0.0,0.0,6
random,action_delay,1,0.0,0.0,1.0,0.04493471196079773,50,0.0,0.0,0.0,0.0,7
random_recovery,action_delay,1,0.0,0.0,1.0,0.005744696192959342,50,0.011973432265222073,0.05867462977766991,0.0,1.0,7
random,action_delay,1,0.0,-50.0,0.0,0.15620760366077882,50,0.0,0.0,0.0,0.0,8
random_recovery,action_delay,1,0.0,-50.0,0.0,0.15620760366077882,50,0.0,0.0,0.0,0.0,8
random,action_delay,1,0.0,-50.0,0.0,0.13175679926719414,50,0.0,0.0,0.0,0.0,9
random_recovery,action_delay,1,0.0,-13.0,1.0,0.004284064242636043,50,0.06178935617208481,0.3027805685997009,0.0,1.0,9
random,action_reverse,1,0.0,-50.0,0.0,0.2258352007083881,50,1.5323210954666138,1.1003681421279907,1.0,0.0,0
random_recovery,action_reverse,1,0.0,-4.0,1.0,0.0007344911070959015,50,0.037556543946266174,0.08923175185918808,0.0,1.0,0
random,action_reverse,1,0.0,-50.0,0.0,0.37133664660501386,50,1.5021414756774902,1.1317715644836426,1.0,0.0,1
random_recovery,action_reverse,1,0.0,-7.0,1.0,0.0009687885364454621,50,0.07074909657239914,0.13621658086776733,0.0,1.0,1
random,action_reverse,1,0.0,-49.0,1.0,0.27047797276788044,50,1.7984992265701294,1.2428371906280518,1.0,0.0,2
random_recovery,action_reverse,1,0.0,-6.0,1.0,0.0008687540540879142,50,0.06110723316669464,0.11714108288288116,0.0,1.0,2
random,action_reverse,1,0.0,-50.0,0.0,0.3261764072520152,50,1.5972269773483276,1.1218832731246948,1.0,0.0,3
random_recovery,action_reverse,1,0.0,-7.0,1.0,0.0008633715450931229,50,0.07630220055580139,0.14050135016441345,0.0,1.0,3
random,action_reverse,1,0.0,-50.0,0.0,0.26289405629657225,50,1.5583077669143677,1.1644192934036255,1.0,0.0,4
random_recovery,action_reverse,1,0.0,-6.0,1.0,0.0007438887739470662,50,0.02006165124475956,0.09054511785507202,0.0,1.0,4
random,action_reverse,1,0.0,-50.0,0.0,0.06562416039765823,50,1.7155272960662842,1.160840630531311,1.0,0.0,5
random_recovery,action_reverse,1,0.0,-7.0,1.0,0.007808810297618728,50,0.0942472442984581,0.18143945932388306,0.0,1.0,5
random,action_reverse,1,0.0,-50.0,0.0,0.24465608464882413,50,1.753645896911621,1.2017121315002441,1.0,0.0,6
